LA Feed Field,XO Backend Source (primary),XO Alternates / Facets,Transform & Notes,Status
Blade Type,Extra-Blade Material,Dynamic Variant-Blade Material,"Verified (MDF, Plywood).",MAPPED
Blade Finish,Extra-Blade Finish,Dynamic Variant-Blade Finish,"Verified. Known from Fanimation option-collapse work — non-selectable, stays a metafield/attribute.",MAPPED
Blade Qty,Extra-Number of Blades,Standard-Number of Blades (facet),Verified (5).,MAPPED
Reverse Air,Extra-Reverse Capable,"Extra-Control Type (contains 'Manual Reverse'), Extra-Reverse Switch Location","CAUTION: 'Extra-Reversible Blades' is a DIFFERENT attribute (two-sided blade finish), not motor reverse. Don't coalesce them.",MAPPED
Fan Speeds,Extra-Number of Speeds,Extra-Number Of Speeds (case-variant duplicate — coalesce),"Verified (3, 6).",MAPPED
Light Kit,Extra-Light Kit Included,"Extra-Light Kit Compatible, Extra-Light Kit Adapter, Extra-Light Kit Included-2 (dup)",Verified.,MAPPED
Fan Control,Extra-Control Type,"Extra-Compatible Wall Controls, Extra-Compatible Smart Control, Extra-Integrated Smart Control, Extra-Remote Control Included, Extra-Pull Chain Control",Verified ('Pull Chain with Manual Reverse'). XO far richer than LA's single field.,MAPPED
Fan Downrod,Extra-Downrod Included,"Extra-Downrod Length/Width 1-2, Extra-Downrod 1 Length/Width + Extra-Down Rod Included (naming variants — coalesce)",Verified. THREE naming schemes for the same downrod data — coalesce all.,MAPPED
Product URL,Item URL,,Relative path ('/brand-minka-lavery/...') — prepend storefront/XO domain. LA field was 0% fill; net gain.,MAPPED
Material,Extra-Material,Extra-Material-2,Verified exact.,MAPPED
Country of Origin,Extra-Country of Origin,,Verified exact. XO 99% fill vs LA 45% — big gain.,MAPPED
Safety Listing,Extra-Safety Rating,"Extra-ETL Listed, Extra-UL Listed, Extra-CSA Listed (all ~0%)",'ETL' → 'ETL Approved'. NAMING TRAP: XO's 'Safety Rating' = LA's 'Safety Listing'.,MAPPED
Safety Rating,Extra-Location Rating,Standard-Location Rating (facet),'Damp' → 'Damp Rated'. NAMING TRAP: LA's 'Safety Rating' actually held location rating.,MAPPED
Energy Star?,Extra-Energy Star,"Extra-Energy Efficient, Extra-Title 20, Extra-Title 24, Extra-CEC Compliant","XO 43% fill vs LA 0% — net gain, plus CA compliance fields LA never had.",MAPPED
ADA?,Extra-ADA Compliant,,XO 59% vs LA 2% — big gain.,MAPPED
Dark Sky?,Extra-Dark Sky,,XO 56% vs LA 1% — big gain.,MAPPED
Manufacturer Warranty,Extra-Warranty,Extra-Warranty-2,Verified (minor phrasing diff).,MAPPED
Intro Date,Extra-Introduction Date,Creation Date (XO record create),"Dates differ slightly (10/2 vs 9/22/2017) — different source events, same purpose.",MAPPED
Spec Sheet,file-N-FilePath where FileDescr contains 'Spec',,"POSITIONAL TRAP: file-1/2/3 slots are NOT fixed by type. Match on FileDescr keyword ('Spec Sheet' / 'Installation' / 'Warranty' / 'Maintenance'), never by slot index.",MAPPED-LOGIC
Instructions,file-N-FilePath where FileDescr contains 'Installation',,Same FileDescr-matching rule.,MAPPED-LOGIC
Parts Diagram,— none —,file slots may carry 'Product Maintenance'/'Use and care',No parts-diagram descriptor seen; LA 0% fill. Retire.,NO MATCH
Image,Image Path,"Image Name, image-1..15 FilePath (gallery)",Primary = Image Path (82% fill). Gallery adds up to 15 images LA never provided.,MAPPED
Shipped Via,Extra-Vendor Ship Method,Extra-Small Parcel (~0%),DIRTY: mixed value domains by Data Source file (Yes/No vs UPS/Small Parcel/Truck). ESCALATE TO TYLER — need one consistent ship-method domain.,MAPPED-DIRTY
Drop Ship,— none —,"(Extra-Sold By is a UOM, not drop-ship)","No XO equivalent. This is Premier-internal fulfillment config — keep the NS field, stop sourcing from feed.",INTERNAL
Carton Volume,Extra-Volume,"Extra-Carton Cubic Feet, Extra-Case Pack Volume",Verified exact.,MAPPED
Dimensional Weight,— none —,derivable: Ship Carton L×W×H (94% fill) / divisor,0% fill in LA. Derive if needed; don't store.,RETIRE
Active?,Discontinued (inverse),"Allow Purchase, In Stock, Back Order Date",Locked decision: backend Discontinued 0/1 flag is the discontinuation signal. Active = (Discontinued=0).,MAPPED
Unique ID,— none —,,LA-native identity. Retire. See XO identity note below.,RETIRE
